"BehaviorSpace results (NetLogo 6.3.0)"
"Fire.nlogo"
"expWithAll4scenarios"
"05/06/2023 15:09:43:935 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-200","200","-135","135"
"[run number]","density","wind-direction","fighting-strategy","wind-velocity","[step]","burned-trees / initial-trees * 100","burned-trees","initial-trees"
"317","64","N","Wind","95","161","0.7583731022650269","526","69359"
"327","52","N","Wind","100","101","0.205218929677134","116","56525"
"328","54","N","Wind","100","101","0.22994770818784172","135","58709"
"329","56","N","Wind","100","81","0.08059873344847437","49","60795"
"331","60","N","Wind","100","81","0.11016923218165682","72","65354"
"330","58","N","Wind","100","101","0.30877035804562764","193","62506"
"333","64","N","Wind","100","101","0.1799467357662132","125","69465"
"332","62","N","Wind","100","121","0.2556779952452864","171","66881"
"334","66","N","Wind","100","121","0.3202797202797203","229","71500"
"336","70","N","Wind","100","121","0.4881781718387165","370","75792"
"335","68","N","Wind","100","161","0.8285876224663301","614","74102"
"192","70","N","Wind","55","1321","9.682749504296101","7325","75650"
"191","68","N","Wind","55","1381","12.727989344641061","9365","73578"
"208","70","N","Wind","60","1381","11.120863573243902","8489","76334"
