[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
268,54,N,No fighting,50,271,287,58755
252,74,N,No fighting,45,1906,78337,80024
269,56,N,No fighting,50,316,259,60543
270,58,N,No fighting,50,181,265,62901
271,60,N,No fighting,50,601,1903,64895
272,62,N,No fighting,50,1156,3957,67290
253,76,N,No fighting,45,1831,81259,82496
254,78,N,No fighting,45,1801,83848,84633
255,80,N,No fighting,45,1741,86353,86972
273,64,N,No fighting,50,2176,29782,69229
257,84,N,No fighting,45,1726,90900,91215
256,82,N,No fighting,45,1741,88642,89038
232,86,N,No fighting,40,1681,93055,93220
274,66,N,No fighting,50,5086,53787,71780
258,86,N,No fighting,45,1696,92993,93188
275,68,N,No fighting,50,2806,64724,73768
259,88,N,No fighting,45,1696,95362,95481
276,70,N,No fighting,50,2341,70806,76208
287,40,N,No fighting,55,241,37,43508
260,90,N,No fighting,45,1681,97716,97796
288,42,N,No fighting,55,241,20,45746
289,44,N,No fighting,55,241,76,47992
277,72,N,No fighting,50,2071,75220,78155
290,46,N,No fighting,55,361,146,49645
292,50,N,No fighting,55,301,54,54053
291,48,N,No fighting,55,301,105,52159
293,52,N,No fighting,55,481,488,56284
294,54,N,No fighting,55,541,684,58660
278,74,N,No fighting,50,2071,78022,80105
295,56,N,No fighting,55,841,732,60874
296,58,N,No fighting,55,1201,1665,62755
279,76,N,No fighting,50,1936,81017,82367
280,78,N,No fighting,50,1876,83278,84388
297,60,N,No fighting,55,1861,13744,65604
281,80,N,No fighting,50,1846,86071,86778
283,84,N,No fighting,50,1756,90656,91026
284,86,N,No fighting,50,1726,93059,93273
285,88,N,No fighting,50,1726,95225,95347
286,90,N,No fighting,50,1711,97472,97556
298,62,N,No fighting,55,3361,45905,67088
282,82,N,No fighting,50,1756,88268,88726
299,64,N,No fighting,55,2221,61290,69439
300,66,N,No fighting,55,2101,66416,71603
301,68,N,No fighting,55,1861,70003,73815
313,40,N,No fighting,60,241,22,43218
314,42,N,No fighting,60,241,50,45531
315,44,N,No fighting,60,241,67,47823
316,46,N,No fighting,60,301,37,49905
317,48,N,No fighting,60,361,147,52274
318,50,N,No fighting,60,301,112,54045
319,52,N,No fighting,60,301,159,56468
320,54,N,No fighting,60,301,171,58180
321,56,N,No fighting,60,481,546,60493
322,58,N,No fighting,60,961,3332,63334
302,70,N,No fighting,55,1681,73610,75904
303,72,N,No fighting,55,1681,76507,78121
324,62,N,No fighting,60,541,1605,67038
323,60,N,No fighting,60,2641,14059,65142
304,74,N,No fighting,55,1621,79463,80448
305,76,N,No fighting,55,1501,81593,82347
306,78,N,No fighting,55,1501,84013,84561
307,80,N,No fighting,55,1441,86362,86678
309,84,N,No fighting,55,1381,91061,91209
325,64,N,No fighting,60,2941,56116,69279
308,82,N,No fighting,55,1441,88723,88917
326,66,N,No fighting,60,1981,65797,71683
327,68,N,No fighting,60,2041,70782,73872
311,88,N,No fighting,55,1321,95394,95447
310,86,N,No fighting,55,1321,93368,93464
312,90,N,No fighting,55,1321,97826,97849
339,40,N,No fighting,65,101,36,43405
340,42,N,No fighting,65,101,28,45338
341,44,N,No fighting,65,101,27,47700
342,46,N,No fighting,65,121,38,49922
343,48,N,No fighting,65,101,37,51935
344,50,N,No fighting,65,141,99,53997
345,52,N,No fighting,65,141,83,56436
328,70,N,No fighting,60,1801,72990,75601
346,54,N,No fighting,65,121,91,58755
347,56,N,No fighting,65,181,291,60924
348,58,N,No fighting,65,121,75,62813
329,72,N,No fighting,60,1801,76133,77872
350,62,N,No fighting,65,841,4876,67383
349,60,N,No fighting,65,921,5022,65343
